  ,  ecce, nonconj, original, ideal_f, ideal
 1,  0.24,    0.27,     0.30,    0.30,  0.22
 2,  0.81,    1.03,     1.06,    1.04,  0.78
 3,  1.70,    2.31,     2.26,    2.25,  1.65
 4,  2.94,    4.09,     3.89,    3.90,  2.86
 5,  4.49,    6.45,     6.02,    5.99,  4.38
 6,  6.33,    9.23,     8.51,    8.55,  6.22
 7,  8.59,   12.52,    11.48,   11.56,  8.44
 8, 11.11,   16.71,    14.91,   15.08, 10.92
 9, 14.00,   20.91,    18.83,   19.01, 13.80
10, 17.29,   26.47,    23.14,   23.39, 17.03
